operacao|dv|convenioTgov|propostaTgov|nomeTomador|cnpjTomador|emailTomador|classificacao|objeto|selecao|assinatura|vigencia|vi|vr|cp1|cp2|vrCreditado|vrDesbloqueado|vrSaldoCreditado|cpDesbloqueado|valorExecucaoVigente|cAgencia|agencia|cCorrente|idExterna|obtv|gestor|etiquetasDaOperacao
1077211|53|915300|288912021|MUNICIPIO DE ALCANTIL - PB|01.612.470/0001-79|ag0041@caixa.gov.br;a0041pb08@caixa.gov.br;martoni.sobral@caixa.gov.br;seg6915pb@caixa.gov.br;bruno.vilar@caixa.gov.br|Nível I (PI 424/16 e IN MPDG 002/18)|pavimentação em paralelepípedo e drenagem e construção de passagem molhada nas localidades amador e barbosa no município de alcantil - pb|26/07/2021|15/09/2021|30/09/2025|495276,48|481104|14172,48|0|481104|243288,99|237815,01|7166,87|495276,48|41|CAMPINA GRANDE|0041.006.00647902-5||SIM|MIDR|Apostilamento PC033/2023, Emenda de Bancada, Módulo Paralisadas, Nível I (PI 424/16 e IN MPDG 002/18), Obra Paralisada, OBTV, Orçamento Impositivo, PC 33/2023 - EXECUÇÃO 365 DIAS, RP 7 - Bancada, Termo Aditivo - Assinatura Digital
1077218|09|914944|293442021|MUNICIPIO DE MONTEIRO - PB|09.073.628/0001-91|ag3315@caixa.gov.br;a3315pb01@mail.caixa;seg6915pb@caixa.gov.br;martoni.sobral@caixa.gov.br;apbom23@gmail.com;contato@prestcontas.com.br;sdengenharia2011@hotmail.com;seplan.monteiro@gmail.com;pmmonteiropb.epc@gmail.com;rodrigolfarias@yahoo.com.br;walzinha22@hotmail.com|Nível I-A (PI 424/16 e IN MPDG 002/18)|adequação e/ou recuperação de estradas vicinais|26/07/2021|13/09/2021|30/09/2025|961019|960019|1000|0|960019|0|960019|0|961019|3315|CARIRI|3315.006.00647240-0||SIM|MIDR|Apostilamento PC033/2023, Emenda de Bancada, Módulo PI424/PC33 Sem Evolução Financeira, Nível I-A (PI 424/16 e IN MPDG 002/18), Obra Não Iniciada (+180 dias), OBTV, Orçamento Impositivo, PC 33/2023 - EXECUÇÃO 365 DIAS, RP 7 - Bancada, Saldo Poupança < Saldo Creditado
1077219|24|914989|293502021|MUNICIPIO DE SERRA GRANDE - PB|08.891.830/0001-68|ag3571@caixa.gov.br;jonathan.lira@caixa.gov.br;walmark.santos@caixa.gov.br;gustavo.m.araujo@caixa.gov.br;martoni.sobral@caixa.gov.br;seg6915pb@caixa.gov.br;geraldo.i.lacerda@caixa.gov.br;pmserragrandepb.epc@gmail.com;contato@prestcontas.com.br;jairohalley@gmail.com;vicenteantonio88@hotmail.com|Nível I (PI 424/16 e IN MPDG 002/18)|construção de mercado público|26/07/2021|07/12/2021|30/09/2025|384705|384205|500|0|384205|0|384205|0|384705|3571|ITAPORANGA, PB|3571.006.00647237-3||SIM|MIDR|Apostilamento PC033/2023, Emenda de Bancada, Nível I (PI 424/16 e IN MPDG 002/18), Obra Não Iniciada, OBTV, Orçamento Impositivo, PC 33/2023 - EXECUÇÃO 365 DIAS, RP 7 - Bancada, Saldo Poupança < Saldo Creditado
1077223|06|914975|294482021|MUNICIPIO DE SAO DOMINGOS DE POMBAL - PB|01.612.691/0001-47|ag0732@caixa.gov.br;martoni.sobral@caixa.gov.br;seg6915pb@caixa.gov.br;geraldo.i.lacerda@caixa.gov.br;adeilzasoaresfreires@gmail.com;ericalss30@gmail.com;obras@saodomingos.pb.gov.br;procuradoria@saodomingos.pb.gov.br|Nível I (PI 424/16 e IN MPDG 002/18)|sistema de abastecimento de água em área rural|26/07/2021|30/09/2021|30/04/2025|384705|384205|500|0|0|0|0|0|384705|732|POMBAL|0732.006.00647382-1||SIM|MIDR|Apostilamento PC033/2023, Cláusula Suspensiva (prorrogação), Emenda de Bancada, Nível I (PI 424/16 e IN MPDG 002/18), OBTV, Orçamento Impositivo, PC 33/2023 - EXECUÇÃO 365 DIAS, RP 7 - Bancada
1077228|13|914983|296682021|MUNICIPIO DE SAO VICENTE DO SERIDO - PB|08.916.124/0001-23|ag0737@caixa.gov.br;martoni.sobral@caixa.gov.br;seg6915pb@caixa.gov.br;claudia.m.brito@caixa.gov.br;erivamanjos@gmail.com;fernandofilho.engcivil@gmail.com;joaokeverson@gmail.com;pmsvseridopb.epc@gmail.com|Nível I (PI 424/16 e IN MPDG 002/18)|reforma do mercado público, no municipio de são vicente do seridó/pb|26/07/2021|24/09/2021|01/05/2026|386000|384205|1795|0|0|0|0|0|386000|737|BORBOREMA|0737.006.00647098-6||SIM|MIDR|Análise Técnica Concluída, Apostilamento PC033/2023, Emenda de Bancada, Nível I (PI 424/16 e IN MPDG 002/18), OBTV, Orçamento Impositivo, PC 33/2023 - EXECUÇÃO 365 DIAS, RP 7 - Bancada
1077235|63|914936|297532021|MUNICIPIO DE MARI - PB|08.917.106/0001-66|bruno.vilar@caixa.gov.br;ag0922@caixa.gov.br;flavio.leal@caixa.gov.br;seg6918pb@caixa.gov.br;ag.maripb@gmail.com;contato@prestcontas.com.br;acassiocpl2018@gmail.com;pmmaripb.epc@gmail.com|Nível I (PI 424/16 e IN MPDG 002/18)|abastecimento de água em área rural no município de mari/pb|26/07/2021|20/09/2021|20/09/2025|481604|481104|500|0|481104|183518,58|297585,42|257,79|356444,55|922|SAPE|0922.006.00647134-1||SIM|MIDR|Andamento Normal, Apostilamento PC033/2023, Desbloqueio em Andamento, Dossiê Digital (OGU), Emenda de Bancada, Módulo acompanhamento de obras, Nível I (PI 424/16 e IN MPDG 002/18), OBTV, Orçamento Impositivo, PC 33/2023 - EXECUÇÃO 365 DIAS, RP 7 - Bancada, Saldo Poupança < Saldo Creditado
1077237|02|914932|297672021|MUNICIPIO DE LIVRAMENTO - PB|08.738.916/0001-55|ag0041@caixa.gov.br;a0041pb08@caixa.gov.br;martoni.sobral@caixa.gov.br;seg6915pb@caixa.gov.br;bruno.vilar@caixa.gov.br;pmlivramentopb.epc@gmail.com;contato@prestcontas.com.br;gregoryprim@gmail.com;jakeline.pml@gmail.com;jakelinedavid.adv@gmail.com;montenegro0604@gmail.com;financas@livramento.pb.gov.br|Nível I (PI 424/16 e IN MPDG 002/18)|reforma e ampliação de mercado público|26/07/2021|08/09/2021|01/04/2025|384605|384205|400|0|0|0|0|0|384605|41|CAMPINA GRANDE|0041.006.00647895-9||SIM|MIDR|Análise Técnica Concluída, Apostilamento PC033/2023, Emenda de Bancada, Nível I (PI 424/16 e IN MPDG 002/18), OBTV, Orçamento Impositivo, PC 33/2023 - EXECUÇÃO 365 DIAS, Preencher Módulo IFO, RP 7 - Bancada, Vigência Vencida
1077238|27|914969|297682021|MUNICIPIO DE RIACHO DE SANTO ANTONIO - PB|01.612.637/0001-00|ag0041@caixa.gov.br;a0041pb08@caixa.gov.br;martoni.sobral@caixa.gov.br;seg6915pb@caixa.gov.br;bruno.vilar@caixa.gov.br;contato@prestcontas.com.br;limagilson1975@gmail.com;kar.lac.cb@hotmail.com;contato@consultoriaum.com.br;nelia_ferreira_hta@hotmail.com;sayonaracferreira@gmail.com|Nível I (PI 424/16 e IN MPDG 002/18)|construção de passagem molhada no sitio damásio, localizado no município de riacho de santo antônio - pb|26/07/2021|31/08/2021|31/12/2025|482000|481104|896|0|481104|168781,1|312322,9|439,98|482000|41|CAMPINA GRANDE|0041.006.00647899-1||SIM|MIDR|Ações Pendentes no Módulo PI424/PC33 Sem Evolução Financeira, Apostilamento PC033/2023, Emenda de Bancada, Módulo Paralisadas, Módulo PI424/PC33 Sem Evolução Financeira, Nível I (PI 424/16 e IN MPDG 002/18), Obra Paralisada, OBTV, Orçamento Impositivo, PC 33/2023 - EXECUÇÃO 365 DIAS, RP 7 - Bancada, Saldo Poupança < Saldo Creditado, Sem Desbloqueio Após 180 Dias do Último Desbloqueio
1077250|75|914954|298932021|MUNICIPIO DE PAULISTA - PB|08.945.727/0001-53|alexandre_ffernandes@hotmail.com;brendasuassuna@gmail.com;gabinete@paulista.pb.gov.br;georgesucupira.gs@gmail.com;isn.1@iramiltonassessoria.com.br;manoelnetopaulista78@gmail.com;ag0732@caixa.gov.br;jairton.sousa@caixa.gov.br;gustavo.m.araujo@caixa.gov.br;martoni.sobral@caixa.gov.br;seg6915pb@caixa.gov.br;dinete.almeida@caixa.gov.br|Nível I (PI 424/16 e IN MPDG 002/18)|pavimentação em área rural|26/07/2021|30/09/2021|30/09/2025|481604|481104|500|0|481104|336053,91|145050,09|363,33|464030,03|4917|SAO BENTO DA PARAIBA, PB|4917.006.00647079-9||SIM|MIDR|1º Desbloqueio ocorreu após 180 dias do 1º Crédito, Andamento Normal, Apostilamento PC033/2023, Dossiê Digital (OGU), Emenda de Bancada, Nível I (PI 424/16 e IN MPDG 002/18), OBTV, Orçamento Impositivo, PC 33/2023 - EXECUÇÃO 365 DIAS, RP 7 - Bancada
1077252|14|914884|299102021|MUNICIPIO DE CARRAPATEIRA - PB|08.924.003/0001-23|iarley.pereira33@gmail.com;jeffesoneng92@gmail.com;juridicocarrapateira@gmail.com;liramarcos200@gmail.com;pmcarrapateirapb.epc@gmail.com;ag0040@caixa.gov.br;martoni.sobral@caixa.gov.br;seg6915pb@caixa.gov.br;geraldo.i.lacerda@caixa.gov.br|Nível I (PI 424/16 e IN MPDG 002/18)|pavimentação em áreas rurais.|26/07/2021|11/11/2021|30/09/2025|384605|384205|400|0|384205|165257,55|218947,45|167,06|381226,57|40|CAJAZEIRAS|0040.006.00647277-7||SIM|MIDR|1º Desbloqueio ocorreu após 180 dias do 1º Crédito, Andamento Normal, Apostilamento PC033/2023, Emenda de Bancada, Módulo acompanhamento de obras, Nível I (PI 424/16 e IN MPDG 002/18), OBTV, Orçamento Impositivo, PC 33/2023 - EXECUÇÃO 365 DIAS, RP 7 - Bancada, Termo Aditivo - Assinatura Digital
1077255|82|914955|299532021|MUNICIPIO DE PEDRA BRANCA - PB|08.889.826/0001-65|ag3571@caixa.gov.br;seg6915pb@caixa.gov.br;martoni.sobral@caixa.gov.br;geraldo.i.lacerda@caixa.gov.br;allanfeliphe@hotmail.com;contato@prestcontas.com.br;iramalacerda@hotmail.com;isnep.1@iramiltonassessoria.com.br;|Nível I (PI 424/16 e IN MPDG 002/18)|adequação de estradas vicinais no município de pedra branca-pb.|26/07/2021|12/11/2021|30/04/2025|482104|481104|1000|0|481104|118003,29|363100,71|298,7|396054,53|3571|ITAPORANGA, PB|3571.006.00647235-7||SIM|MIDR|1º Desbloqueio ocorreu após 180 dias do 1º Crédito, Aguardando BM/RRE, Apostilamento PC033/2023, Emenda de Bancada, Módulo Paralisadas, Nível I (PI 424/16 e IN MPDG 002/18), Obra Paralisada, OBTV, Orçamento Impositivo, PC 33/2023 - EXECUÇÃO 365 DIAS, RP 7 - Bancada, Saldo Poupança < Saldo Creditado, Sem Desbloqueio Após 90 Dias do Último Desbloqueio
1077295|27|914765|318142021|MUNICIPIO DE BAIA DA TRAICAO - PB|08.894.859/0001-01|detaprefeitabaia@gmail.com;contato@consultoriaum.com.br;pmbtfinancas@hotmail.com;claudia.m.brito@caixa.gov.br;ag0044@caixa.gov.br;jonathan.frederico@caixa.gov.br;theresa.cardoso@caixa.gov.br;flavio.leal@caixa.gov.br;seg6918pb@caixa.gov.br|Nível I (PI 424/16 e IN MPDG 002/18)|pavimentação em paralelepípedo e drenagem no bairro da várzea, localizado no município de baía da traição - pb|27/07/2021|16/09/2021|16/09/2025|287691,35|287306|385,35|0|287306|232389,27|54916,73|311,69|287691,35|44|MAMANGUAPE|0044.006.00647279-5||SIM|MCIDADES|Aguardando BM/RRE, Apostilamento PC033/2023, Módulo acompanhamento de obras, Módulo Paralisadas, Nível I (PI 424/16 e IN MPDG 002/18), Obra Paralisada, OBTV, PC 33/2023 - EXECUÇÃO 365 DIAS, RAP 2021 Desbloqueado, RP 9 - Relator
1077296|42|914793|318242021|MUNICIPIO DE NATUBA - PB|09.072.448/0001-95|ag0041@caixa.gov.br;a0041pb08@caixa.gov.br;martoni.sobral@caixa.gov.br;seg6915pb@caixa.gov.br;bruno.vilar@caixa.gov.br;cabralanasto@gmail.com;andresa.freire@yahoo.com.br;contato@assppb.com.br;escritorio.martinsnorat@gmail.com;guilhermevianalg@hotmail.com;lins-filho@hotmail.com;sandro@justobranco.com.br|Nível I (PI 424/16 e IN MPDG 002/18)|pavimentação de vias no município de natuba - pb|27/07/2021|27/09/2021|27/09/2025|290196,07|287306|2890,07|0|0|0|0|0|290196,07|41|CAMPINA GRANDE|0041.006.00647897-5||SIM|MCIDADES|Aguardando Crédito de Recursos, Apostilamento PC033/2023, Impedido por Regra 180 Dias, Nível I (PI 424/16 e IN MPDG 002/18), OBTV, PC 33/2023 - EXECUÇÃO 365 DIAS, RAP 2021 Desbloqueado, RAP 2021 Liquidado, RP 9 - Relator, VRPL Aceito e sem AIO
1077301|64|914805|319562021|MUNICIPIO DE SAO JOSE DOS CORDEIROS - PB|08.873.226/0001-09|brenocordeiro@epcpb.com.br;contato@prestcontas.com.br;feliciokelmo@hotmail.com;fernandocordeiros@gmail.com;pliniomedeiros2@gmail.com;pmsjcordeirospb.epc@gmail.com;ag0041@caixa.gov.br;a0041pb08@caixa.gov.br;martoni.sobral@caixa.gov.br;seg6915pb@caixa.gov.br;bruno.vilar@caixa.gov.br|Nível I (PI 424/16 e IN MPDG 002/18)|pavimentação de rua(s)/via(s)|27/07/2021|28/09/2021|01/07/2025|292579,25|287306|5273,25|0|287306|134833,81|152472,19|2474,76|292579,25|41|CAMPINA GRANDE|0041.006.00647892-4||SIM|MCIDADES|Aguardando BM/RRE, Apostilamento PC033/2023, Módulo acompanhamento de obras, Módulo Paralisadas, Módulo PI424/PC33 Sem Evolução Financeira, Nível I (PI 424/16 e IN MPDG 002/18), Obra Paralisada, OBTV, PC 33/2023 - EXECUÇÃO 365 DIAS, RP 9 - Relator, Saldo Poupança < Saldo Creditado, Sem Desbloqueio Após 180 Dias do Último Desbloqueio
1077346|16|909951|189092021|MUNICIPIO DE SALGADINHO - PB|08.881.666/0001-08|erivanjuliosilva@gmail.com;lindinaldo.engcivil10@gmail.com;contato@consultoriaum.com.br;ag0043@caixa.gov.br;ailton.sousa@caixa.gov.br;carlos.fragoso@caixa.gov.br;miguel.a.filho@caixa.gov.br;gustavo.m.araujo@caixa.gov.br;martoni.sobral@caixa.gov.br;seg6915pb@caixa.gov.br;paulo.medeiros@caixa.gov.br|Nível I (PI 424/16 e IN MPDG 002/18)|construção de campo de futebol no município de salgadinho - pb|14/07/2021|28/09/2021|28/09/2025|252945,73|238750|14195,73|0|238750|0|238750|0|252945,73|43|PATOS|0043.006.00648042-3||SIM|MESP|Apostilamento PC033/2023, Emenda Individual, Módulo PI424/PC33 Sem Evolução Financeira, Nível I (PI 424/16 e IN MPDG 002/18), Obra Não Iniciada (+180 dias), OBTV, Orçamento Impositivo, PC 33/2023 - EXECUÇÃO 365 DIAS, RP 6 - Individual, Saldo Poupança < Saldo Creditado, Termo Aditivo - Assinatura Digital
1077363|69|910442|201492021|MUNICIPIO DE ALAGOA GRANDE - PB|08.753.204/0001-05|adv.manoelnetto@gmail.com;gabinetedoprefeito@gmail.com;hpaivaengenharia@gmail.com;pmalagoagrandepb.epc@gmail.com;sefin.pmag@gmail.com;valkeronofre@gmail.com;ag1100@caixa.gov.br;martoni.sobral@caixa.gov.br;seg6915pb@caixa.gov.br;claudia.m.brito@caixa.gov.br|Nível I (PI 424/16 e IN MPDG 002/18)|construção de quadra poliesportiva no município de alagoa grande - pb|14/07/2021|30/09/2021|01/04/2026|239250|238750|500|0|0|0|0|0|239250|1100|AREIA|1100.006.00647147-7||SIM|MESP|Apostilamento PC033/2023, Cláusula Suspensiva (prorrogação), Emenda Individual, Nível I (PI 424/16 e IN MPDG 002/18), OBTV, Orçamento Impositivo, PC 33/2023 - EXECUÇÃO 365 DIAS, RP 6 - Individual
1077368|76|910008|204482021|MUNICIPIO DE CAJAZEIRAS - PB|08.923.971/0001-15|ag0040@caixa.gov.br;martoni.sobral@caixa.gov.br;paulo.medeiros@caixa.gov.br;seg6915pb@caixa.gov.br;isn.1@iramiltonassessoria.com.br;gabinetecajazeiras@gmail.com;prefeitasocorrodelfino@gmail.com;prefeito@cajazeiras.pb.gov.br;semosp@cajazeiras.pb.gov.br;thomas.seplancz@gmail.com|Nível I (PI 424/16 e IN MPDG 002/18)|construção de campo de futebol society no município de cajazeiras - pb|14/07/2021|30/09/2021|30/04/2025|239750|238750|1000|0|238750|0|238750|0|239750|40|CAJAZEIRAS|0040.006.00647274-2||SIM|MESP|Apostilamento PC033/2023, Emenda Individual, Nível I (PI 424/16 e IN MPDG 002/18), Obra Não Iniciada, OBTV, Orçamento Impositivo, PC 33/2023 - EXECUÇÃO 365 DIAS, RP 6 - Individual, Saldo Poupança < Saldo Creditado
1077395|42|910336|247602021|MUNICIPIO DE RIACHO DOS CAVALOS - PB|08.921.876/0001-82|ag3518@caixa.gov.br;seg6915pb@caixa.gov.br;martoni.sobral@caixa.gov.br;dinete.almeida@caixa.gov.br;isn.2@iramiltonassessoria.com.br;mabelmaia@hotmail.com;vieiraarthurav11@gmail.com;zero83engenharia@gmail.com;isnep.2@iramiltonassessoria.com.br;vieiraarthurav11@gmail.com;mabelmaia@hotmail.com|Nível I (PI 424/16 e IN MPDG 002/18)|modernização do campo de futebol no município de riacho dos cavalos/pb|14/07/2021|28/09/2021|30/06/2025|273745,06|238750|34995,06|0|238750|0|238750|0|273745,06|3518|CATOLE DO ROCHA, PB|3518.006.00647077-0||SIM|MESP|Apostilamento PC033/2023, Emenda Individual, Nível I (PI 424/16 e IN MPDG 002/18), Obra Não Iniciada, OBTV, Orçamento Impositivo, PC 33/2023 - EXECUÇÃO 365 DIAS, RP 6 - Individual, Saldo Poupança < Saldo Creditado, Termo Aditivo - Assinatura Digital
1077402|03|912381|264932021|MUNICIPIO DE ASSUNCAO - PB|01.612.635/0001-02|cogem.assuncao@hotmail.com;pmassuncaopb.epc@gmail.com;waldvogel_jr@hotmail.com;wgnrfelipe@gmail.com;ag3485@caixa.gov.br;martoni.sobral@caixa.gov.br;seg6915pb@caixa.gov.br;paulo.medeiros@caixa.gov.br|Nível I (PI 424/16 e IN MPDG 002/18)|construção de complexo esportivo no municipio de assunção-pb|30/07/2021|20/10/2021|30/06/2025|585000|573000|12000|0|573000|335401,08|237598,92|8565,39|481892,65|3485|SANTA LUZIA DO SABUGI, PB|3485.006.00647094-2||SIM|MESP|Andamento Normal, Apostilamento PC033/2023, Nível I (PI 424/16 e IN MPDG 002/18), OBTV, PC 33/2023 - EXECUÇÃO 365 DIAS, RAP 2021 Desbloqueado, RP 9 - Relator, Saldo Poupança < Saldo Creditado, Sem Desbloqueio Após 90 Dias do Último Desbloqueio
1077585|81|914788|321522021|MUNICIPIO DE DONA INES - PB|08.782.146/0001-48|advantoniojustino@gmail.com;fabingomes380@gmail.com;infraestrutura@pmdonaines.pb.gov.br;isn.2@iramiltonassessoria.com.br;matheusengenhariacivil@gmail.com;obras@pmdonaines.pb.gov.br;ag0042@caixa.gov.br;ag0042pb02@caixa.gov.br;martoni.sobral@caixa.gov.br;seg6915pb@caixa.gov.br;dinete.almeida@caixa.gov.br|Nível I-A (PI 424/16 e IN MPDG 002/18)|pavimentação em paralelepípedo e drenagem das ruas josé antônio teixeira, pedro josé da costa, antônio braz dos santos, josé antônio da silva, gabriel bento de lima, joão malaquias de araújo e josué lucas de araújo neto, localizadas no município de dona i|03/08/2021|23/12/2021|08/05/2025|961000|960019|981|0|781829,36|306065,45|475763,91|384,04|782810,36|42|GUARABIRA|0042.006.00647411-8||SIM|MCIDADES|Aguardando BM/RRE, Apostilamento PC033/2023, Módulo acompanhamento de obras, Módulo Paralisadas, Nível I-A (PI 424/16 e IN MPDG 002/18), Obra Paralisada, OBTV, PC 33/2023 - EXECUÇÃO 365 DIAS, RAP 2021 Desbloqueado, RAP 2021 Liquidado, RP 9 - Relator, Saldo Poupança < Saldo Creditado, Sem Desbloqueio Após 90 Dias do Último Desbloqueio, Termo Aditivo - Assinatura Digital
1077636|70|914812|253152021|MUNICIPIO DE TRIUNFO - PB|08.924.060/0001-02|gabinete@triunfo.pb.gov.br;contato@prestcontas.com.br;isn.2@iramiltonassessoria.com.br;obrasedesenvolvimento@triunfo.pb.gov.br;jonataspessoa@gmail.com;wltconsultoria2020@gmail.com;ag0040@caixa.gov.br;martoni.sobral@caixa.gov.br;seg6915pb@caixa.gov.br;geraldo.i.lacerda@caixa.gov.br|Nível I-A (PI 424/16 e IN MPDG 002/18)|implantação de pavimentação no perímetro urbano.|04/08/2021|29/10/2021|18/04/2025|872680|863680|9000|0|849575,99|612963,88|236612,11|6493,45|858575,99|40|CAJAZEIRAS|0040.006.00647276-9||SIM|MCIDADES|Aguardando BM/RRE, Apostilamento PC033/2023, Dossiê Digital (OGU), Módulo acompanhamento de obras, Módulo Paralisadas, Nível I-A (PI 424/16 e IN MPDG 002/18), Obra Paralisada, OBTV, PC 33/2023 - EXECUÇÃO 365 DIAS, RAP 2021 Desbloqueado, RAP 2021 Liquidado, RP 9 - Relator, Saldo Poupança < Saldo Creditado, Sem Desbloqueio Após 90 Dias do Último Desbloqueio
1077656|99|913256|261102021|MUNICIPIO DE CONCEICAO - PB|08.943.227/0001-82|ag3571@caixa.gov.br;martoni.sobral@caixa.gov.br;seg6915pb@caixa.gov.br;geraldo.i.lacerda@caixa.gov.br;contato@prestcontas.com.br;engenhariasuporte@conceicao.pb.gov.br;financas@conceicao.pb.gov.br;pmconceicaopb.epc@gmail.com;samuel.lacerda@hotmail.com;wiaramygmc@gmail.com|Nível I-A (PI 424/16 e IN MPDG 002/18)|construção da feira do gado no município de conceição-pb.|04/08/2021|31/12/2021|30/09/2025|956000|955000|1000|0|955000|842979,57|112020,43|1000|951581,68|3571|ITAPORANGA, PB|3571.006.00647248-9||SIM|MAP|Apostilamento PC033/2023, BM/RRE em análise/vistoria, Dossiê Digital (OGU), EGT 4 - Aceito - Fase de Licitação, Módulo acompanhamento de obras, Módulo Paralisadas, Nível I-A (PI 424/16 e IN MPDG 002/18), Obra Paralisada, OBTV, PC 33/2023 - EXECUÇÃO 365 DIAS, Previsão Despesas Preparatórias, RP 9 - Relator, Saldo Poupança < Saldo Creditado, Sem Desbloqueio Após 90 Dias do Último Desbloqueio, Sit. Atual Vencida - Impacto IGAT
1077779|97|917696|316062021|MUNICIPIO DE SERRA DA RAIZ - PB|08.789.737/0001-47|ag0042@caixa.gov.br;ag0042pb02@caixa.gov.br;josiane.paz@caixa.gov.br;kildare.oliveira@caixa.gov.br;jaime.lima@caixa.gov.br;gustavo.m.araujo@caixa.gov.br;martoni.sobral@caixa.gov.br;seg6915pb@caixa.gov.br;dinete.almeida@caixa.gov.br;diogo.jales@hotmail.com;isn.2@iramiltonassessoria.com.br;luizm14.lg@gmail.com;moisesirineu@gmail.com|Nível I-A (PI 424/16 e IN MPDG 002/18)|modernização de praça no perímetro urbano.|06/08/2021|22/11/2021|30/06/2025|768109,11|767341|768,11|0|767341|486211,68|281129,32|506,9|737529,21|42|GUARABIRA|0042.006.00647415-0||SIM|MCIDADES|1º Desbloqueio ocorreu após 180 dias do 1º Crédito, Apostilamento PC033/2023, Dossiê Digital (OGU), Módulo Paralisadas, Não acompanhada pelo módulo de acompanhamento de obras, Nível I-A (PI 424/16 e IN MPDG 002/18), Obra Paralisada, OBTV, PC 33/2023 - EXECUÇÃO 365 DIAS, RAP 2021 Desbloqueado, RP 9 - Relator, Saldo Poupança < Saldo Creditado
1077784|94|917692|317272021|MUNICIPIO DE BERNARDINO BATISTA - PB|01.621.539/0001-20|ag0040@caixa.gov.br;martoni.sobral@caixa.gov.br;seg6915pb@caixa.gov.br;geraldo.i.lacerda@caixa.gov.br;sdengenharia2011@hotmail.com;macianaazevedomaia@gmail.com;prefeitoaldoandrade@gmail.com;solangedarioeee@gmail.com;wltconsultoria2020@gmail.com|Nível I (PI 424/16 e IN MPDG 002/18)|pavimentação de ruas no municipio de bernardino batista/pb.|06/08/2021|21/10/2021|30/09/2025|481594|481104|490|0|398501,3|325436,03|73065,27|490|398991,3|40|CAJAZEIRAS|0040.006.00647281-5||SIM|MCIDADES|Aguardando BM/RRE, Apostilamento PC033/2023, Módulo Paralisadas, Nível I (PI 424/16 e IN MPDG 002/18), Obra Paralisada, OBTV, PC 33/2023 - EXECUÇÃO 365 DIAS, RAP 2021 Desbloqueado, RAP 2021 Liquidado, RP 9 - Relator, Saldo Poupança < Saldo Creditado, Sem Desbloqueio Após 90 Dias do Último Desbloqueio
1077785|20|917681|317362021|MUNICIPIO DE ESPERANCA - PB|08.993.909/0001-08|ag1668@caixa.gov.br;martoni.sobral@caixa.gov.br;seg6915pb@caixa.gov.br;claudia.m.brito@caixa.gov.br;audalecio@gmail.com;contato@assppb.com.br;edmilsonlopes@gmail.com;engmatheusfernandes@hotmail.com;igoordelgado@hotmail.com;sandrarrsimoes@gmail.com;thiagomoraescz@gmail.com|Nível I (PI 424/16 e IN MPDG 002/18)|pavimentação de vias em esperança - pb|06/08/2021|23/12/2021|30/09/2025|724102|723352|750|0|723352|64506,6|658845,4|68,61|705918,13|1668|ESPERANCA|1668.006.00647274-0||SIM|MCIDADES|1º Desbloqueio ocorreu após 180 dias do 1º Crédito, Apostilamento PC033/2023, Módulo Paralisadas, Nível I (PI 424/16 e IN MPDG 002/18), Obra Paralisada, OBTV, PC 33/2023 - EXECUÇÃO 365 DIAS, RAP 2021 Desbloqueado, RP 9 - Relator, Saldo Poupança < Saldo Creditado, Sem Desbloqueio Após 90 Dias do Último Desbloqueio
1077790|27|917671|317952021|MUNICIPIO DE SOSSEGO - PB|01.613.663/0001-44|ag4916@caixa.gov.br;seg6915pb@caixa.gov.br;martoni.sobral@caixa.gov.br;claudia.m.brito@caixa.gov.br;carlinhosvcv@gmail.com;contato@assppb.com.br;engenheiro.fabriciomarques@gmail.com;gilbertocuite@hotmail.com;pmsossego@hotmail.com;vanuzapmedeiros@hotmail.com|Nível I (PI 424/16 e IN MPDG 002/18)|pavimentação de vias no município de sossego - pb|06/08/2021|23/12/2021|30/09/2025|239156|238856|300|0|0|0|0|0|239156|4916|PICUI, PB|4916.006.00647068-8||SIM|MCIDADES|Aguardando Crédito de Recursos, Apostilamento PC033/2023, Nível I (PI 424/16 e IN MPDG 002/18), OBTV, PC 33/2023 - EXECUÇÃO 365 DIAS, RAP 2021 Desbloqueado, RAP 2021 Liquidado, RP 9 - Relator, VRPL Aceito e sem AIO
1077794|07|917673|318382021|MUNICIPIO DE SOLEDADE - PB|08.919.425/0001-00|contato@assppb.com.br;debybalduino@gmail.com;engsidneymartins@gmail.com;contato@prestcontas.com.br;geraldo@mouraramos.com.br;gustavo.luiz.eng@gmail.com;secobrapms1@gmail.com;ag0041@caixa.gov.br;a0041pb08@caixa.gov.br;martoni.sobral@caixa.gov.br;seg6915pb@caixa.gov.br;bruno.vilar@caixa.gov.br|Nível I (PI 424/16 e IN MPDG 002/18)|pavimentação de vias|06/08/2021|09/11/2021|30/10/2025|402154,97|384205|17949,97|0|384205|0|384205|0|402154,97|41|CAMPINA GRANDE|0041.006.00647909-2||SIM|MCIDADES|Apostilamento PC033/2023, Nível I (PI 424/16 e IN MPDG 002/18), Obra Não Iniciada, OBTV, PC 33/2023 - EXECUÇÃO 365 DIAS, RAP 2021 Desbloqueado, RP 9 - Relator, Saldo Poupança < Saldo Creditado
