operacaoctef|ctefctef|cnpjctef|empresactef
1069999|007/2022|04.672.369/0001-00|RANULFO TOMAZ DA SILVA
1068896|10019/22|09.326.532/0001-98|Livramento Construções, Serviços e Projetos (DISTRATADO)
1040708|000004/2021|01.079.262/0001-56|compacta construcoes, servicos e locacoes ltda
1064506|000007/2022|33.506.391/0001-70|A S Construções Eireli
1061702|000069/2020|28.697.127/0001-20|jgm engenharia e incorporacao ltda
1069311|066/2020|10.588.767/0001-37|Suzana Azevedo Meira
1069315|00003/2021|24.658.568/0001-62|FM SERVICOS LTDA
1068980|000136/2020|08.061.304/0001-70|cesarino construcoes eireli
1053543|000046/2021|28.536.867/0001-85|lcl servicos de engenharia eireli
1063956|00009/2021|01.079.262/0001-56|COMPACTA CONSTRUCOES, SERVICOS E LOCACOES LTDA
1010373|000034/2020|26.092.337/0001-60|My Servicos de Construcoes Eireli (Rescindido)
1054122|010147/2021|14.206.183/0001-00|mac construtora eireli
1070155|00122021/2021|09.335.002/0001-06|CL CONSTRUCOES E SERVICOS LTDA
1043974|011012/2022|05.052.764/0001-44|construtora gurgel soares ltda
1071608|005  2021|26.884.229/0001-20|RESOLVE SERVICOS DE ENGENHARIA E CONSULTORIA LTDA
1068646|0008/2021|26.743.365/0001-08|FREITAS SERVICOS DE ENGENHARIA LTDA
1074572|00001/2021|01.664.506/0001-68|A. P ENGENHARIA LTDA
1074592|00007/2021|21.120.333/0001-24|RDA CONSTRUCOES E EMPREENDIMENTOS EIRELI
1074304|00093/2022|36.240.305/0001-18|Gerplan Engenharia Ltda
1076234|10087/2022|14.313.165/0001-28|TORRES CONSTRUCOES LTDA
1074588|13.0.01/2022|25.080.166/0001-96|FERREIRA ALVES SERVICOS DE CONSTRUCOES EIRELI
1068358|02006/2021|11.724.567/0001-27|HUMBERTO JOSE MENDES DA SILVA
1077656|00022022/2022|14.313.179/0001-41|CLAUDINEIA LEITAO MARTINS SATIRO
1070699|00042022/2022|34.283.502/0001-99|VANESSA CABRAL LEITE DE SOUZA EIRELI
1047440|011023/2022|34.356.435/0001-95|br saneamento ltda.
1063968|04/2022|21.798.708/0001-00|KAIROS ENGENHARIA E CONSTRUÇÕES LTDA
1081295|06/2022|44.459.047/0001-93|ANCORA CONSTRUTORA LTDA
1059628|20/2022|35.590.090/0001-00|Humberto Ramalho Trigueiro Mendes
1073974|012022/2022|34.955.075/0001-48|JHONATAN ANDRADE DA SILVA EIRELI
1081377|135/2022|10.627.393/0001-11|HPN Construções, Incorporações e Locações Ltda.
0306468|000106/2022|12.350.951/0001-70|gps gerenciamento de projetos e servicos ltda
1040708|000045/2021|01.079.262/0001-56|compacta construcoes, servicos e locacoes ltda
1066371|00009/2021|37.566.790/0001-87|ULTRA SOLUCOES E SERVICOS LTDA
1057202|000076/2020|24.658.568/0001-62|fm servicos ltda
1043974|007013/2018|73.041.188/0001-90|comercial e construtora fenix eireli
1067732|00001/2021|01.664.506/0001-68|A. P ENGENHARIA LTDA
1062328|000038/2022|22.057.226/0001-61|concreta construcao e servicos ltda
1072236|02003/2022|22.057.226/0001-61|CONCRETA CONSTRUCAO E SERVICOS LTDA
1043974|011012/2022|05.052.764/0001-44|construtora gurgel soares ltda
1073600|092021/2021|19.910.105/0001-06|RENOVAR CONSTRUCOES E SERVICOS LTDA
1064879|02.00002/2022|35.042.630/0001-03|SOMOS CONSTRUCOES EIRELI
1067919|19/2021|08.560.898/0001-64|COMTERMICA COMERCIAL TERMICA LTDA
1070149|00001/2022|40.599.842/0001-26|SC CONSTRUCOES EIRELI
1070151|00002/2021|25.080.166/0001-96|FERREIRA ALVES SERVICOS DE CONSTRUCOES EIRELI
1067331|00001/2021|01.664.506/0001-68|A. P ENGENHARIA LTDA
1073373|000072021/2021|22.057.226/0001-61|CONCRETA CONSTRUCAO E SERVICOS LTDA
1069319|0001/2021|30.272.239/0001-81|CATAO BONGIOVI COMERCIO E SERVICOS EIRELI
1061511|003/2021|26.884.229/0001-20|RESOLVE SERVICOS DE ENGENHARIA E CONSULTORIA LTDA
1055747|000117/2019|26.092.337/0001-60|my servicos de construcoes eireli
1074225|0001/2021|26.420.889/0001-50|GAMARRA CONSTRUTORA E LOCADORA EIRELI
1067334|104/2022|21.763.372/0001-40|Ribeiro e Anjos Empreendimentos e Engenharia Ltda.
1070097|017/2021|17.620.703/0001-15|CONSTRUTORA APODI EIRELI
1074007|001/2021|04.441.785/0001-99|Construtora Suassuna & Martins Ltda. (Rescindido)
1072527|082021/2021|08.560.898/0001-64|COMTERMICA COMERCIAL TERMICA LTDA
1071684|091/2021|11.170.603/0001-58|Covale Construções e Serviços Eireli (Rescindido)
1041187|139/2021|15.409.799/0001-41|Alx Construções Ltda. (Rescindido)
1073951|008/2021|29.828.673/0001-16|AMETISTA CONSTRUCOES E SERVICOS EIRELI
1043974|007024/2021|07.308.813/0001-92|gl empreendimentos ltda
1073970|11/2021|07.609.311/0001-00|CRV CONSTRUCOES E SERVICOS LTDA
0314279|000124/2011|01.698.341/0001-45|linear engenharia e empreendimentos ltda - epp
1073355|022021/2021|37.628.430/0001-62|HAYA CONSTRUTORA EIRELI
1062164|0001/2021|28.561.917/0001-84|SANTA FE CONSTRUCOES EIRELI
1040708|000045/2021|01.079.262/0001-56|compacta construcoes, servicos e locacoes ltda
1073357|000042021/2021|35.590.090/0001-00|HUMBERTO RAMALHO TRIGUEIRO MENDES
1046920|000138/2019|26.764.981/0001-37|obraplan empresa de limpeza e conservacao urbana eireli
1048180|000042/2019|30.309.072/0001-86|jose vagner barbosa de oliveira eireli
1002217|000058/2020|04.328.497/0001-22|m l dantas construcoes eireli
1061652|000046/2020|15.610.424/0001-45|planforte construcao e prestadora de servicos eireli
1043974|007019/2018|19.563.875/0001-20|concrete servicos de urbanizacao construcao e incorporacao de empreendimentos ltda
1043974|007024/2021|07.308.813/0001-92|gl empreendimentos ltda
1043974|007006/2019|05.475.046/0001-80|engemec construtora e incorporadora ltda
0306468|000107/2015|19.854.079/0001-46|impertec construcoes e servicos ltda
1043998|000064/2021|15.364.149/0001-27|GMF Construções Serviços e Locações Ltda. (Vencido)
1052587|000046/2020|29.711.343/0001-46|cp2 construcoes, servicos e locacoes eireli
1003841|000026/2015|19.088.045/0001-98|ecomaq - empresa de construcao e maquinas eireli
1056613|020101/2020|10.291.098/0001-37|mimozza construcao ltda
1061854|000011/2020|22.346.772/0001-12|savires iluminacao e construcoes eireli
1040708|000045/2019|26.092.337/0001-60|my servicos de construcoes eireli
1062164|00001/2021|28.561.917/0001-84|SFX CONSTRUCOES E SERVICOS EIRELI
0306468|000080/2017|24.024.359/0001-67|vn construcoes e incorporacoes eireli
1010373|000067/2021|23.783.258/0001-07|marcelo barbosa de oliveira
1002217|000058/2020|04.328.497/0001-22|m l dantas construcoes eireli
1074457|00007/2021|35.675.044/0001-04|AYLLANDERSON CARNEIRO DE ALENCAR EIRELI
1043974|007001/2019|10.791.675/0001-50|potiguar construtora ltda
1060211|000180/2019|02.349.757/0001-10|accocil construcoes e locacoes eireli
1048665|008/2021|02.349.757/0001-10|Accocil Construções e Locações Eireli (Distratado)
0373042|000005/2019|11.615.335/0001-30|macrotec equipamentos ltda
1047259|000087/2019|22.759.235/0001-02|sena construcoes eireli
1062222|000013/2021|31.162.496/0001-23|bsr construtora e locadora eireli
0314279|000001/2020|07.750.950/0001-82|l r m construcoes e empreendimentos ltda
0314279|000127/2020|30.272.239/0001-81|catao bongiovi comercio e servicos eireli
1034012|000005/2017|08.780.160/0001-02|melf construtora eireli - epp
1047956|000088/2020|15.610.424/0001-45|planforte construcao e prestadora de servicos eireli
1013042|000027/2015|19.088.045/0001-98|ecomaq - empresa de construcao e maquinas eireli
1010373|000065/2018|18.246.378/0001-35|Construtora Modelar Eireli (Rescindido)
1068655|0003/2020|05.935.592/0001-57|ABILIO FERREIRA LIMA NETO EIRELI
1066740|000018/2021|29.459.001/0001-80|w&s construcoes e incorporacoes ltda
0373042|000004/2019|21.331.031/0001-03|construtora arara ltda
1063243|10/2020|30.272.239/0001-81|CATAO BONGIOVI COMERCIO E SERVICOS EIRELI
0306468|000023/2011|70.119.805/0001-34|gema construcoes e comercio ltda
1013042|000067/2020|33.506.391/0001-70|a s construcoes eireli
1002217|000058/2020|04.328.497/0001-22|m l dantas construcoes eireli
1046984|007027/2019|09.047.935/0001-06|a3t - construcao e incorporacao ltda
1002217|000101/2017|26.520.926/0001-00|maciel & rolim construcoes e servicos ltda
1046920|000138/2019|26.764.981/0001-37|obraplan empresa de limpeza e conservacao urbana ltda
1062328|000062/2020|33.894.347/0001-84|mg construcoes e servicos ltda
0373042|000026/2013|07.940.834/0001-26|cedro engenharia ltda.
1021281|00042/2017|20.227.311/0001-03|Construtora J. Galdino Eireli
1068851|000054/2020|04.441.785/0001-99|construtora suassuna & martins ltda
1061704|000007/2020|34.598.340/0001-88|nce construcao e impermeabilizacao eireli
1055531|000183/2020|33.375.398/0001-08|jose dionisio da silva filho eireli
0373042|000013/2016|11.615.335/0001-30|macrotec equipamentos ltda
1003841|000067/2020|33.506.391/0001-70|a s construcoes eireli
1057204|032021/2021|12.096.959/0001-51|T4 ENGENHARIA E SERVICOS LTDA
1047440|007025/2019|09.047.935/0001-06|a3t - construcao e incorporacao ltda
1059698|000013/2020|36.121.012/0001-11|pr construcoes eireli
1058950|0022021/2021|15.409.799/0001-41|ALX CONSTRUCOES LTDA
1002217|000076/2014|10.997.953/0001-20|servcon construcoes comercio e servicos ltda - epp
1055747|000001/2020|26.979.660/0001-50|santa cecilia construcoes e servicos ltda
1052751|000013/2020|26.635.344/0001-60|Campo Feliz Construções e Serviços Ltda. (Rescindido)
1062163|062021/2021|17.560.794/0001-40|E L F TEIXEIRA CONSTRUCOES E SERVICOS EIRELI
0335669|005001/2017|11.381.605/0001-96|eicomnor engenharia impermeabilizacao comercio do nordeste limitada
1068980|000136/2021|08.061.304/0001-70|cesarino construcoes eireli
1043974|007004/2019|10.791.675/0001-50|potiguar construtora ltda
1043974|007005/2019|07.861.146/0001-70|construtora planicie ltda
1008388|000399/2015|14.575.353/0001-24|viga engenharia ltda
1058030|000641/2020|09.605.291/0001-16|c b a construcoes ltda
0373042|000006/2020|24.606.073/0001-90|construtora alves e conserva ltda
1021281|00144/2021|02.152.129/0001-40|Construmax Construções e Serviços Eireli
1055291|000098/2020|29.878.872/0001-39|r f servicos de construcao civil eireli
1018448|000070/2016|12.889.340/0001-02|Construtora Soares Ltda
1056401|000098/2020|07.563.850/0001-47|j s da silva
1069311|019/2021|33.506.391/0001-70|A S Construções Eireli
1073985|00149/2021|17.598.162/0001-76|MACARIO PRE MOLDADOS E METALURGICA LTDA.
1068076|00012021/2021|10.641.065/0001-70|NIEMAIA CONSTRUCOES EIRELI
1018448|000174/2019|34.283.502/0001-99|Vanessa Cabral Leite de Souza Eireli
1068705|00032021/2021|14.206.183/0001-00|MAC CONSTRUTORA EIRELI
1052582|000050/2020|34.598.340/0001-88|nce construcao e impermeabilizacao eireli
1052738|000118/2020|20.975.997/0001-02|awg engenharia ltda
1056613|020601/2021|33.665.164/0001-97|f v dos santos eireli
1045587|005101/2019|01.084.111/0001-96|ecol engenharia e construcoes ltda
1059212|000098/2020|03.278.968/0001-72|Maxicasa Comércio Construções e Serviços Ltda.
1052884|276/2020|12.541.735/0001-01|Maurílio Ferreira da Silva Eireli (Anulado)
1030113|000286/2018|16.978.480/0001-08|acacia construcoes e servicos eireli
1054122|000001/2020|33.894.347/0001-84|mg construcoes e servicos ltda
1052884|517/2021|17.598.162/0001-76|Macário Pré-Moldados e Metalúrgica Ltda. (Rescindido)
1074468|004/2021|08.061.304/0001-70|CESARINO CONSTRUCOES EIRELI
1035853|000223/2019|08.449.096/0001-81|canapu comercio de distribuicao eireli
1035853|000170/2020|07.239.645/0001-20|emilly industria e comercio de moveis ltda
1035853|000224/2019|20.934.278/0001-43|elohim comercial e servicos eireli
1073866|00002/2021|24.658.568/0001-62|FM SERVICOS LTDA
1072624|0004/2021|29.842.086/0001-81|B & F EDIFICARE ENGENHARIA LTDA
1035853|000169/2020|33.330.526/0001-99|be distribuidora de produtos eireli
1044210|000331/2019|20.010.332/0001-64|montbravo construcoes e servicos eireli
1063834|002/2021|30.251.160/0001-74|CONSTRUPAV EMPREENDIMENTOS LTDA
1034348|011080/2019|08.938.468/0001-33|construcoes, comercio e empreendimentos queiroga ltda
1041810|000065/2019|04.441.785/0001-99|construtora suassuna & martins ltda
1041455|000020/2020|19.374.181/0001-44|joselanio anastacio da silva eireli
1045706|000031/2020|07.264.280/0001-94|mjc construcoes eireli
1072286|007/2021|08.317.848/0001-50|APN CONSTRUCOES E SERVICOS EIRELI
1064031|000121/2020|27.114.499/0001-14|vsma servicos de engenharia eireli
1067354|00001/2021|40.065.143/0001-04|JOTAV CONSTRUCOES, SERVICOS E SOLUCOES LTDA
1063898|092021/2021|15.705.860/0001-06|COMPASSO EMPREENDIMENTOS LTDA
1066687|000044/2020|12.072.392/0001-83|Agreste Construtora e Comércio Ltda. (Distratada)
1064847|00005/2020|30.999.688/0001-26|JMSV CONSTRUCOES EIRELI
1064902|000122/2020|20.227.311/0001-03|construtora j. galdino eireli
1063896|000163/2021|40.309.921/0001-55|Nobrega & Nobrega Construções e Projetos Ltda. (Rescindido)
1068076|12021/2021|10.641.065/0001-70|NIEMAIA CONSTRUCOES EIRELI
1064879|112020/2020|34.283.502/0001-99|VANESSA CABRAL LEITE DE SOUZA EIRELI
1063904|22021/2021|26.420.889/0001-50|GAMARRA CONSTRUTORA E LOCADORA EIRELI
1063898|92021/2021|15.705.860/0001-06|COMPASSO EMPREENDIMENTOS LTDA
1070029|22021/2021|26.420.889/0001-50|GAMARRA CONSTRUTORA E LOCADORA EIRELI
1035853|000222/2019|19.296.355/0001-06|central da papelaria e comercio de informatica eireli
1065695|000012021/2021|14.313.165/0001-28|TORRES CONSTRUCOES LTDA
1066008|000016/2020|22.576.181/0001-31|nobrega e souza construções ltda
1063331|004/2021|17.620.703/0001-15|CONSTRUTORA APODI EIRELI
1065660|208021/2020|09.323.098/0001-92|construtora rocha cavalcante ltda
1065660|208022/2020|09.323.098/0001-92|construtora rocha cavalcante ltda
1068705|32021/2021|14.206.183/0001-00|MAC CONSTRUTORA EIRELI
1063860|000008/2021|28.209.201/0001-12|construtora farias di figueiredo eireli
1057204|32021/2021|12.096.959/0001-51|T4 ENGENHARIA E SERVICOS LTDA
1041455|20/2020|19.374.181/0001-44|joselanio anastacio da silva eireli
1063860|000003/2021|28.209.201/0001-12|construtora farias di figueiredo eireli
1070699|0032021/2021|07.177.669/0001-00|SM SERVICOS DE CONSTRUCOES EIRELI
1063904|0022021/2021|26.420.889/0001-50|GAMARRA CONSTRUTORA E LOCADORA EIRELI
1068333|82021/2021|25.080.166/0001-96|FERREIRA ALVES SERVICOS DE CONSTRUCOES EIRELI
1068333|000082021/2021|25.080.166/0001-96|FERREIRA ALVES SERVICOS DE CONSTRUCOES EIRELI
1065881|000136/2020|08.061.304/0001-70|cesarino construcoes eireli
1045361|168/2019|20.002.412/0001-78|Construtora Daki Eireli (Distratado)
1070029|0022021/2021|26.420.889/0001-50|GAMARRA CONSTRUTORA E LOCADORA EIRELI
1058950|22021/2021|15.409.799/0001-41|ALX CONSTRUCOES LTDA
1064900|42021/2021|08.686.945/0001-10|JMR CONSTRUCOES EIRELI
1073596|42021/2021|12.541.735/0001-01|MAURILIO FERREIRA DA SILVA EIRELI
1061652|46/2020|15.610.424/0001-45|planforte construcao e prestadora de servicos eireli
1064900|000042021/2021|08.686.945/0001-10|JMR CONSTRUCOES EIRELI
1064192|000026/2020|17.427.953/0001-33|engemais construcoes e servicos eireli
1062222|13/2021|31.162.496/0001-23|bsr construtora e locadora eireli
1064259|32021/2021|19.293.019/0001-00|CARAMURU CONSTRUTORA E IMOBILIARIA LTDA
1065695|12021/2021|14.313.165/0001-28|TORRES CONSTRUCOES LTDA
1064259|000032021/2021|19.293.019/0001-00|CARAMURU CONSTRUTORA E IMOBILIARIA LTDA
0373042|6/2020|24.606.073/0001-90|construtora alves e conserva ltda
1047251|208008/2018|09.323.098/0001-92|construtora rocha cavalcante ltda
1062160|22901/2020|02.559.827/0001-65|esplendor construcoes ltda
0348129|5001/2017|11.381.605/0001-96|eicomnor engenharia impermeabilizacao comercio do nordeste limitada
1055747|1/2020|26.979.660/0001-50|santa cecilia construcoes e servicos ltda
